month,year,usage,usage_normal,area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester
10,2558,3426,0.0143,642.89,0.0254,2,0.0135,29,0.5714,1
11,2558,3846,0.0160,642.89,0.0254,2,0.0135,29,0.5714,1
12,2558,1988,0.0083,642.89,0.0254,2,0.0135,28,0.4286,1
1,2559,2219,0.0092,642.89,0.0254,2,0.0135,27,0.2857,1
2,2559,2923,0.0122,642.89,0.0254,2,0.0135,28,0.4286,1
3,2559,3394,0.0141,642.89,0.0254,2,0.0135,31,0.8571,1
4,2559,3321,0.0138,642.89,0.0254,2,0.0135,32,1.0000,1
5,2559,3527,0.0147,642.89,0.0254,2,0.0135,32,1.0000,1
6,2559,3587,0.0149,642.89,0.0254,2,0.0135,29,0.5714,0
7,2559,2946,0.0123,642.89,0.0254,2,0.0135,29,0.5714,0
8,2559,4014,0.0167,642.89,0.0254,2,0.0135,30,0.7143,1
9,2559,3280,0.0137,642.89,0.0254,2,0.0135,29,0.5714,1
10,2559,3351,0.0140,642.89,0.0254,2,0.0135,29,0.5714,1
11,2559,2839,0.0118,642.89,0.0254,2,0.0135,29,0.5714,1
12,2559,2226,0.0093,642.89,0.0254,2,0.0135,27,0.2857,1
1,2560,3669,0.0153,642.89,0.0254,2,0.0135,27,0.2857,1
2,2560,3458,0.0144,642.89,0.0254,2,0.0135,28,0.4286,1
3,2560,5587,0.0233,642.89,0.0254,2,0.0135,30,0.7143,1
4,2560,3833,0.0160,642.89,0.0254,2,0.0135,31,0.8571,1
5,2560,3421,0.0142,642.89,0.0254,2,0.0135,30,0.7143,1
6,2560,2319,0.0097,642.89,0.0254,2,0.0135,29,0.5714,0
7,2560,5174,0.0216,642.89,0.0254,2,0.0135,29,0.5714,0
8,2560,6004,0.0250,642.89,0.0254,2,0.0135,29,0.5714,1
9,2560,4325,0.0180,642.89,0.0254,2,0.0135,29,0.5714,1
10,2560,4082,0.0170,642.89,0.0254,2,0.0135,28,0.4286,1
11,2560,4647,0.0194,642.89,0.0254,2,0.0135,28,0.4286,1
12,2560,4139,0.0172,642.89,0.0254,2,0.0135,26,0.1429,1
1,2561,5947,0.0248,642.89,0.0254,2,0.0135,27,0.2857,1
2,2561,6543,0.0273,642.89,0.0254,2,0.0135,27,0.2857,1
3,2561,10015,0.0417,642.89,0.0254,2,0.0135,29,0.5714,1
4,2561,8750,0.0365,642.89,0.0254,2,0.0135,29,0.5714,1
9,2561,5743,0.0239,642.89,0.0254,2,0.0135,29,0.5714,1
1,2556,1335,0.0056,642.00,0.0254,2,0.0135,28,0.4286,1
2,2556,1511,0.0063,642.00,0.0254,2,0.0135,30,0.7143,1
3,2556,1244,0.0052,642.00,0.0254,2,0.0135,31,0.8571,0
4,2556,1159,0.0048,642.00,0.0254,2,0.0135,32,1.0000,0
5,2556,1512,0.0063,642.00,0.0254,2,0.0135,32,1.0000,0
6,2556,1376,0.0057,642.00,0.0254,2,0.0135,30,0.7143,1
7,2556,811,0.0034,642.00,0.0254,2,0.0135,30,0.7143,1
8,2556,898,0.0037,642.00,0.0254,2,0.0135,30,0.7143,1
9,2556,891,0.0037,642.00,0.0254,2,0.0135,29,0.5714,1
10,2556,838,0.0035,642.00,0.0254,2,0.0135,29,0.5714,0
11,2556,837,0.0035,642.00,0.0254,2,0.0135,30,0.7143,1
12,2556,756,0.0031,642.00,0.0254,2,0.0135,25,0.0000,1
1,2557,709,0.0029,642.00,0.0254,2,0.0135,25,0.0000,1
2,2557,711,0.0030,642.00,0.0254,2,0.0135,28,0.4286,1
3,2557,823,0.0034,642.00,0.0254,2,0.0135,30,0.7143,1
4,2557,671,0.0028,642.00,0.0254,2,0.0135,31,0.8571,1
5,2557,511,0.0021,642.00,0.0254,2,0.0135,31,0.8571,1
6,2557,669,0.0028,642.00,0.0254,2,0.0135,30,0.7143,0
7,2557,670,0.0028,642.00,0.0254,2,0.0135,30,0.7143,0
8,2557,754,0.0031,642.00,0.0254,2,0.0135,29,0.5714,1
9,2557,804,0.0033,642.00,0.0254,2,0.0135,29,0.5714,1
