month,year,usage,area,floor,minTemp,maxTemp,avgTemp,semester
11,2559,6226,4179.78,5,27,31,29,1
12,2559,6226,4179.78,5,24,30,27,1
1,2560,6226,4179.78,5,26,29,27,1
2,2560,13967,4179.78,5,24,31,28,1
4,2560,16319,4179.78,5,28,33,31,1
5,2560,14245,4179.78,5,27,32,30,1
6,2560,5886,4179.78,5,28,31,29,0
7,2560,4797,4179.78,5,27,31,29,0
8,2560,12404,4179.78,5,27,31,29,1
9,2560,19165,4179.78,5,28,31,29,1
10,2560,15739,4179.78,5,26,31,28,1
11,2560,15386,4179.78,5,25,30,28,1
12,2560,12843,4179.78,5,20,29,26,1
1,2561,14650,4179.78,5,22,30,27,1
2,2561,15939,4179.78,5,23,30,27,1
3,2561,14909,4179.78,5,24,31,29,1
4,2561,15034,4179.78,5,24,32,29,1
5,2561,15141,4179.78,5,28,31,29,1
6,2561,13108,4179.78,5,26,31,30,0
7,2561,13861,4179.78,5,27,30,29,0
8,2561,14809,4179.78,5,27,30,29,1
9,2561,13292,4179.78,5,27,31,29,1
10,2561,17903,4179.78,5,27,31,29,1
11,2561,16690,4179.78,5,26,31,29,1
12,2561,11636,4179.78,5,26,30,28,1
1,2556,20165,16497.39,14,26,30,28,1
2,2556,20065,16497.39,14,28,32,30,1
3,2556,16775,16497.39,14,24,34,31,0
4,2556,16000,16497.39,14,29,34,32,0
5,2556,16166,16497.39,14,30,34,32,0
6,2556,20682,16497.39,14,28,32,30,1
7,2556,20682,16497.39,14,28,32,30,1
8,2556,13066,16497.39,14,28,31,30,1
9,2556,20543,16497.39,14,24,32,29,1
10,2556,19257,16497.39,14,26,31,29,0
11,2556,24399,16497.39,14,26,31,30,1
12,2556,24000,16497.39,14,21,30,25,1
1,2557,20000,16497.39,14,21,28,25,1
2,2557,23471,16497.39,14,24,29,28,1
3,2557,23471,16497.39,14,27,32,30,1
4,2557,23471,16497.39,14,29,33,31,1
5,2557,23471,16497.39,14,29,33,31,1
6,2557,23471,16497.39,14,28,32,30,0
7,2557,19247,16497.39,14,27,32,30,0
8,2557,19247,16497.39,14,27,31,29,1
9,2557,11654,16497.39,14,28,31,29,1
10,2557,16868,16497.39,14,27,29,29,1
11,2557,6891,16497.39,14,26,31,29,1
12,2557,9271,16497.39,14,24,29,27,1
1,2558,10433,16497.39,14,23,29,26,1
2,2558,11840,16497.39,14,26,31,28,1
3,2558,11840,16497.39,14,27,31,30,1
4,2558,9190,16497.39,14,27,33,30,1
5,2558,11896,16497.39,14,29,32,31,1
6,2558,8691,16497.39,14,29,33,30,0
7,2558,9389,16497.39,14,28,32,30,0
8,2558,10361,16497.39,14,27,32,30,1
9,2558,13037,16497.39,14,26,31,29,1
10,2558,10361,16497.39,14,27,30,29,1
11,2558,10361,16497.39,14,28,31,29,1
12,2558,10361,16497.39,14,24,31,28,1
1,2559,10361,16497.39,14,18,31,27,1
2,2559,10361,16497.39,14,20,30,28,1
3,2559,10361,16497.39,14,27,33,31,1
4,2559,10361,16497.39,14,29,34,32,1
5,2559,10361,16497.39,14,29,34,32,1
6,2559,10361,16497.39,14,27,32,29,0
7,2559,10361,16497.39,14,28,31,29,0
8,2559,10361,16497.39,14,29,31,30,1
9,2559,10361,16497.39,14,27,31,29,1
10,2559,10361,16497.39,14,27,30,29,1
11,2559,10361,16497.39,14,27,31,29,1
12,2559,10361,16497.39,14,24,30,27,1
1,2560,10361,16497.39,14,26,29,27,1
2,2560,21750,16497.39,14,24,31,28,1
3,2560,23132,16497.39,14,27,32,30,1
4,2560,24276,16497.39,14,28,33,31,1
5,2560,21445,16497.39,14,27,32,30,1
6,2560,19635,16497.39,14,28,31,29,0
7,2560,16774,16497.39,14,27,31,29,0
8,2560,13741,16497.39,14,27,31,29,1
9,2560,8543,16497.39,14,28,31,29,1
10,2560,6553,16497.39,14,26,31,28,1
11,2560,6481,16497.39,14,25,30,28,1
12,2560,6439,16497.39,14,20,29,26,1
1,2561,7002,16497.39,14,22,30,27,1
2,2561,6050,16497.39,14,23,30,27,1
3,2561,5669,16497.39,14,24,31,29,1
4,2561,4991,16497.39,14,24,32,29,1
5,2561,5457,16497.39,14,28,31,29,1
6,2561,5093,16497.39,14,26,31,30,0
7,2561,5387,16497.39,14,27,30,29,0
8,2561,5842,16497.39,14,27,30,29,1
9,2561,5076,16497.39,14,27,31,29,1
10,2561,6992,16497.39,14,27,31,29,1
11,2561,6702,16497.39,14,26,31,29,1
12,2561,4542,16497.39,14,26,30,28,1
1,2556,14891,17875.32,14,26,30,28,1
2,2556,14851,17875.32,14,28,32,30,1
3,2556,9975,17875.32,14,24,34,31,0
4,2556,11578,17875.32,14,29,34,32,0
5,2556,13100,17875.32,14,30,34,32,0
6,2556,17082,17875.32,14,28,32,30,1
7,2556,17082,17875.32,14,28,32,30,1
8,2556,10429,17875.32,14,28,31,30,1
9,2556,19000,17875.32,14,24,32,29,1
10,2556,20000,17875.32,14,26,31,29,0
11,2556,18000,17875.32,14,26,31,30,1
12,2556,17500,17875.32,14,21,30,25,1
1,2557,17000,17875.32,14,21,28,25,1
2,2557,11900,17875.32,14,24,29,28,1
3,2557,11900,17875.32,14,27,32,30,1
4,2557,11900,17875.32,14,29,33,31,1
5,2557,11900,17875.32,14,29,33,31,1
6,2557,11900,17875.32,14,28,32,30,0
7,2557,16274,17875.32,14,27,32,30,0
8,2557,16274,17875.32,14,27,31,29,1
9,2557,9022,17875.32,14,28,31,29,1
10,2557,12636,17875.32,14,27,29,29,1
11,2557,5227,17875.32,14,26,31,29,1
12,2557,7053,17875.32,14,24,29,27,1
1,2558,7947,17875.32,14,23,29,26,1
2,2558,9655,17875.32,14,26,31,28,1
3,2558,9655,17875.32,14,27,31,30,1
4,2558,8001,17875.32,14,27,33,30,1
5,2558,10166,17875.32,14,29,32,31,1
6,2558,7437,17875.32,14,29,33,30,0
7,2558,7887,17875.32,14,28,32,30,0
8,2558,9094,17875.32,14,27,32,30,1
9,2558,11844,17875.32,14,26,31,29,1
10,2558,9094,17875.32,14,27,30,29,1
11,2558,9094,17875.32,14,28,31,29,1
12,2558,9094,17875.32,14,24,31,28,1
1,2559,9094,17875.32,14,18,31,27,1
2,2559,9094,17875.32,14,20,30,28,1
3,2559,9094,17875.32,14,27,33,31,1
4,2559,9094,17875.32,14,29,34,32,1
5,2559,9094,17875.32,14,29,34,32,1
6,2559,9094,17875.32,14,27,32,29,0
7,2559,9094,17875.32,14,28,31,29,0
8,2559,9094,17875.32,14,29,31,30,1
9,2559,9094,17875.32,14,27,31,29,1
10,2559,9094,17875.32,14,27,30,29,1
11,2559,9094,17875.32,14,27,31,29,1
12,2559,9094,17875.32,14,24,30,27,1
1,2560,9094,17875.32,14,26,29,27,1
2,2560,18622,17875.32,14,24,31,28,1
3,2560,27827,17875.32,14,27,32,30,1
4,2560,19258,17875.32,14,28,33,31,1
5,2560,19142,17875.32,14,27,32,30,1
6,2560,19537,17875.32,14,28,31,29,0
7,2560,17245,17875.32,14,27,31,29,0
8,2560,18407,17875.32,14,27,31,29,1
9,2560,24833,17875.32,14,28,31,29,1
10,2560,19553,17875.32,14,26,31,28,1
