month,year,usage,area,floor,minTemp,maxTemp,avgTemp,semester
3,2559,29600.00,1567.36,2,27,33,31,1
4,2559,30480.00,1567.36,2,29,34,32,1
5,2559,32320.00,1567.36,2,29,34,32,1
6,2559,29440.00,1567.36,2,27,32,29,0
7,2559,22880.00,1567.36,2,28,31,29,0
8,2559,27600.00,1567.36,2,29,31,30,1
9,2559,29840.00,1567.36,2,27,31,29,1
10,2559,27680.00,1567.36,2,27,30,29,1
11,2559,33760.00,1567.36,2,27,31,29,1
12,2559,27680.00,1567.36,2,24,30,27,1
1,2560,24616.00,1567.36,2,26,29,27,1
2,2560,33384.00,1567.36,2,24,31,28,1
3,2560,32800.00,1567.36,2,27,32,30,1
4,2560,31920.00,1567.36,2,28,33,31,1
5,2560,26880.00,1567.36,2,27,32,30,1
6,2560,27680.00,1567.36,2,28,31,29,0
7,2560,28080.00,1567.36,2,27,31,29,0
8,2560,36000.00,1567.36,2,27,31,29,1
9,2560,33280.00,1567.36,2,28,31,29,1
10,2560,35840.00,1567.36,2,26,31,28,1
11,2560,33120.00,1567.36,2,25,30,28,1
12,2560,32560.00,1567.36,2,20,29,26,1
1,2561,2160.00,1567.36,2,22,30,27,1
2,2561,14960.00,1567.36,2,23,30,27,1
3,2561,18480.00,1567.36,2,24,31,29,1
4,2561,28640.00,1567.36,2,24,32,29,1
5,2561,49120.00,1567.36,2,28,31,29,1
6,2561,21360.00,1567.36,2,26,31,30,0
7,2561,24080.00,1567.36,2,27,30,29,0
8,2561,34000.00,1567.36,2,27,30,29,1
9,2561,34720.00,1567.36,2,27,31,29,1
10,2561,24720.00,1567.36,2,27,31,29,1
11,2561,26800.00,1567.36,2,26,31,29,1
12,2561,22880.00,1567.36,2,26,30,28,1
1,2556,9000.00,1420.76,2,26,30,28,1
2,2556,18240.00,1420.76,2,28,32,30,1
3,2556,10440.00,1420.76,2,24,34,31,0
4,2556,9600.00,1420.76,2,29,34,32,0
5,2556,21480.00,1420.76,2,30,34,32,0
6,2556,18240.00,1420.76,2,28,32,30,1
7,2556,18240.00,1420.76,2,28,32,30,1
8,2556,4860.00,1420.76,2,28,31,30,1
9,2556,3360.00,1420.76,2,24,32,29,1
10,2556,16560.00,1420.76,2,26,31,29,0
11,2556,16440.00,1420.76,2,26,31,30,1
12,2556,6480.00,1420.76,2,21,30,25,1
1,2557,7560.00,1420.76,2,21,28,25,1
2,2557,12480.00,1420.76,2,24,29,28,1
3,2557,14880.00,1420.76,2,27,32,30,1
4,2557,15120.00,1420.76,2,29,33,31,1
5,2557,12120.00,1420.76,2,29,33,31,1
6,2557,12240.00,1420.76,2,28,32,30,0
7,2557,16920.00,1420.76,2,27,32,30,0
8,2557,12720.00,1420.76,2,27,31,29,1
9,2557,13356.00,1420.76,2,28,31,29,1
10,2557,8232.00,1420.76,2,27,29,29,1
11,2557,9972.00,1420.76,2,26,31,29,1
12,2557,8640.00,1420.76,2,24,29,27,1
1,2558,10560.00,1420.76,2,23,29,26,1
2,2558,9000.00,1420.76,2,26,31,28,1
3,2558,7920.00,1420.76,2,27,31,30,1
4,2558,8520.00,1420.76,2,27,33,30,1
5,2558,14760.00,1420.76,2,29,32,31,1
6,2558,16200.00,1420.76,2,29,33,30,0
7,2558,13320.00,1420.76,2,28,32,30,0
8,2558,21480.00,1420.76,2,27,32,30,1
9,2558,6600.00,1420.76,2,26,31,29,1
11,2558,2280.00,1420.76,2,28,31,29,1
12,2558,2760.00,1420.76,2,24,31,28,1
1,2559,2280.00,1420.76,2,18,31,27,1
2,2559,2760.00,1420.76,2,20,30,28,1
3,2559,2640.00,1420.76,2,27,33,31,1
4,2559,2640.00,1420.76,2,29,34,32,1
5,2559,2760.00,1420.76,2,29,34,32,1
6,2559,1320.00,1420.76,2,27,32,29,0
7,2559,3600.00,1420.76,2,28,31,29,0
8,2559,6000.00,1420.76,2,29,31,30,1
9,2559,6624.00,1420.76,2,27,31,29,1
10,2559,7212.00,1420.76,2,27,30,29,1
11,2559,8604.00,1420.76,2,27,31,29,1
12,2559,6960.00,1420.76,2,24,30,27,1
1,2560,6432.00,1420.76,2,26,29,27,1
2,2560,11568.00,1420.76,2,24,31,28,1
3,2560,11280.00,1420.76,2,27,32,30,1
4,2560,11160.00,1420.76,2,28,33,31,1
5,2560,7560.00,1420.76,2,27,32,30,1
6,2560,8040.00,1420.76,2,28,31,29,0
7,2560,8040.00,1420.76,2,27,31,29,0
8,2560,9840.00,1420.76,2,27,31,29,1
