month,year,usage,area,floor,minTemp,maxTemp,avgTemp,semester
5,2560,1044,1602.51,2,27,32,30,1
6,2560,1096,1602.51,2,28,31,29,0
7,2560,925,1602.51,2,27,31,29,0
8,2560,1170,1602.51,2,27,31,29,1
9,2560,1225,1602.51,2,28,31,29,1
10,2560,997,1602.51,2,26,31,28,1
11,2560,998,1602.51,2,25,30,28,1
12,2560,995,1602.51,2,20,29,26,1
1,2561,1153,1602.51,2,22,30,27,1
2,2561,1148,1602.51,2,23,30,27,1
3,2561,901,1602.51,2,24,31,29,1
4,2561,1021,1602.51,2,24,32,29,1
5,2561,985,1602.51,2,28,31,29,1
6,2561,764,1602.51,2,26,31,30,0
7,2561,854,1602.51,2,27,30,29,0
8,2561,1073,1602.51,2,27,30,29,1
9,2561,745,1602.51,2,27,31,29,1
10,2561,1061,1602.51,2,27,31,29,1
11,2561,1117,1602.51,2,26,31,29,1
12,2561,915,1602.51,2,26,30,28,1
1,2556,49,325.39,3,26,30,28,1
2,2556,53,325.39,3,28,32,30,1
3,2556,470,325.39,3,24,34,31,0
4,2556,565,325.39,3,29,34,32,0
5,2556,371,325.39,3,30,34,32,0
6,2556,533,325.39,3,28,32,30,1
7,2556,111,325.39,3,28,32,30,1
8,2556,104,325.39,3,28,31,30,1
9,2556,891,325.39,3,24,32,29,1
10,2556,549,325.39,3,26,31,29,0
11,2556,572,325.39,3,26,31,30,1
12,2556,700,325.39,3,21,30,25,1
1,2557,973,325.39,3,21,28,25,1
2,2557,897,325.39,3,24,29,28,1
3,2557,1177,325.39,3,27,32,30,1
4,2557,1383,325.39,3,29,33,31,1
5,2557,740,325.39,3,29,33,31,1
6,2557,965,325.39,3,28,32,30,0
7,2557,1162,325.39,3,27,32,30,0
8,2557,879,325.39,3,27,31,29,1
9,2557,923,325.39,3,28,31,29,1
10,2557,445,325.39,3,27,29,29,1
11,2557,665,325.39,3,26,31,29,1
12,2557,653,325.39,3,24,29,27,1
1,2558,600,325.39,3,23,29,26,1
2,2558,588,325.39,3,26,31,28,1
3,2558,587,325.39,3,27,31,30,1
4,2558,568,325.39,3,27,33,30,1
5,2558,932,325.39,3,29,32,31,1
6,2558,900,325.39,3,29,33,30,0
7,2558,965,325.39,3,28,32,30,0
8,2558,977,325.39,3,27,32,30,1
9,2558,1290,325.39,3,26,31,29,1
10,2558,1576,325.39,3,27,30,29,1
11,2558,1288,325.39,3,28,31,29,1
12,2558,1574,325.39,3,24,31,28,1
1,2559,1276,325.39,3,18,31,27,1
2,2559,1559,325.39,3,20,30,28,1
3,2559,1460,325.39,3,27,33,31,1
4,2559,1507,325.39,3,29,34,32,1
5,2559,1597,325.39,3,29,34,32,1
6,2559,1466,325.39,3,27,32,29,0
7,2559,1358,325.39,3,28,31,29,0
8,2559,652,325.39,3,29,31,30,1
9,2559,706,325.39,3,27,31,29,1
10,2559,718,325.39,3,27,30,29,1
11,2559,711,325.39,3,27,31,29,1
12,2559,582,325.39,3,24,30,27,1
1,2560,585,325.39,3,26,29,27,1
2,2560,714,325.39,3,24,31,28,1
3,2560,704,325.39,3,27,32,30,1
4,2560,683,325.39,3,28,33,31,1
5,2560,500,325.39,3,27,32,30,1
6,2560,515,325.39,3,28,31,29,0
7,2560,523,325.39,3,27,31,29,0
8,2560,690,325.39,3,27,31,29,1
9,2560,637,325.39,3,28,31,29,1
10,2560,688,325.39,3,26,31,28,1
11,2560,635,325.39,3,25,30,28,1
12,2560,625,325.39,3,20,29,26,1
1,2561,246,325.39,3,22,30,27,1
2,2561,857,325.39,3,23,30,27,1
3,2561,425,325.39,3,24,31,29,1
4,2561,637,325.39,3,24,32,29,1
5,2561,976,325.39,3,28,31,29,1
6,2561,432,325.39,3,26,31,30,0
7,2561,488,325.39,3,27,30,29,0
8,2561,684,325.39,3,27,30,29,1
9,2561,675,325.39,3,27,31,29,1
10,2561,480,325.39,3,27,31,29,1
11,2561,520,325.39,3,26,31,29,1
