month,year,usage,area,floor,age,minTemp,maxTemp,avgTemp,semester
4,2558,5000,5362.97,8,15,27,33,30,1
5,2558,4000,5362.97,8,15,29,32,31,1
6,2558,5000,5362.97,8,15,29,33,30,0
7,2558,4000,5362.97,8,15,28,32,30,0
8,2558,4000,5362.97,8,15,27,32,30,1
9,2558,5000,5362.97,8,15,26,31,29,1
10,2558,6000,5362.97,8,15,27,30,29,1
11,2558,6000,5362.97,8,15,28,31,29,1
12,2558,6000,5362.97,8,15,24,31,28,1
1,2559,5000,5362.97,8,15,18,31,27,1
2,2559,6000,5362.97,8,15,20,30,28,1
3,2559,5000,5362.97,8,15,27,33,31,1
4,2559,5000,5362.97,8,15,29,34,32,1
5,2559,6000,5362.97,8,15,29,34,32,1
6,2559,5000,5362.97,8,15,27,32,29,0
7,2559,5000,5362.97,8,15,28,31,29,0
8,2559,5000,5362.97,8,15,29,31,30,1
9,2559,6000,5362.97,8,15,27,31,29,1
10,2559,6000,5362.97,8,15,27,30,29,1
11,2559,6000,5362.97,8,15,27,31,29,1
12,2559,5000,5362.97,8,15,24,30,27,1
1,2560,6000,5362.97,8,15,26,29,27,1
2,2560,6000,5362.97,8,15,24,31,28,1
3,2560,6000,5362.97,8,15,27,32,30,1
4,2560,5000,5362.97,8,15,28,33,31,1
5,2560,6000,5362.97,8,15,27,32,30,1
6,2560,5000,5362.97,8,15,28,31,29,0
7,2560,6000,5362.97,8,15,27,31,29,0
8,2560,6000,5362.97,8,15,27,31,29,1
9,2560,5000,5362.97,8,15,28,31,29,1
10,2560,3000,5362.97,8,15,26,31,28,1
11,2560,4000,5362.97,8,15,25,30,28,1
12,2560,3000,5362.97,8,15,20,29,26,1
1,2561,4000,5362.97,8,15,22,30,27,1
2,2561,3000,5362.97,8,15,23,30,27,1
3,2561,4000,5362.97,8,15,24,31,29,1
4,2561,3000,5362.97,8,15,24,32,29,1
1,2556,22000,3508.12,5,11,26,30,28,1
2,2556,22000,3508.12,5,11,28,32,30,1
3,2556,26000,3508.12,5,11,24,34,31,0
4,2556,22000,3508.12,5,11,29,34,32,0
5,2556,25000,3508.12,5,11,30,34,32,0
